OS NameSpace	OS Deployment Config	BitBucket Project	Bit Bucket Repo	OS Image
comet-osb-services	common-useradmin-service-v1	BES	common-useradmin-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/common-useradmin-service-v1@sha256:8047aa9199d6adad3c128c85e0eff02ebb4dacaefb64fe301529fd9ffd0292b4
comet-osb-services	comoyo-user-service-v1	BAS	comoyo-user-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/comoyo-user-service-v1@sha256:81d20da7479cea73762021acadefeb0281e7897163886b83b0a38d53724cfb69
comet-osb-services	cosmos-resourcepermission-service-v1	BAS	cosmos-resourcepermission-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/cosmos-resourcepermission-service-v1@sha256:715dd551e74b0cf451b490f5df9843da2e0d39dd5b32460b5c2eca02812f75d6
comet-osb-services	cosmos-useradmin-service-v1	BAS	cosmos-useradmin-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/cosmos-useradmin-service-v1@sha256:c43635d54a6360ba4088040774e848bec20667aa6692075e5ef418e5e6638630
comet-osb-services	custom-sms-mq-service-v1	BAS	custom-sms-mq-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/custom-sms-mq-service-v1@sha256:5a5dadf8d29c02a3a33193838dcda26557a16d0bdac557a3ef872bc5a1782b5e
comet-osb-services	economy-account-service-v1	BES	economy-account-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/economy-account-service-v1@sha256:48d39d8cf2ee5238218fe07f898a688df154abe582c2ad837993cc57a1f3150f
comet-osb-services	economy-billevent-service-v1	BES	economy-billevent-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/economy-billevent-service-v1@sha256:4004b069057a28708d3abdda840ec70c3627c1f8af00abd01aa06644072cea1d
comet-osb-services	economy-creditadminmemo-service-v1	BES	economy-creditadminmemo-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/economy-creditadminmemo-service-v1@sha256:d4320a8e79dfc461692b47e2415d0132159d2211f7b4287ffdae3b0573d5ad4c
comet-osb-services	economy-creditevaluation-service-v1	BES	economy-creditevaluation-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/economy-creditevaluation-service-v1@sha256:717a397ce50cbf68db329d80953ecdc0b1a0d28f4ce1f52ba860bde5459f00a5
comet-osb-services	economy-creditmemo-service-v1	BES	economy-creditmemo-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/economy-creditmemo-service-v1@sha256:2e7247eecf09a3fabc37cf571a7dbc94350822d6df71eaf54e37feb21f9e9333
comet-osb-services	economy-edcinvoice-mq-service-v1	BES	economy-edcinvoice-mq-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/economy-edcinvoice-mq-service-v1@sha256:96dab4456e9b698e09e7ff638b4b9b0b05b1cda06c4df7feddf1da332beb126a
comet-osb-services	economy-instalment-service-v1	BES	economy-instalment-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/economy-instalment-service-v1@sha256:053e99df39317e99f7f70671e8aabc330caa015fba5a1efdc2950af83bbfb68d
comet-osb-services	economy-instalmentadmin-service-v1	BES	economy-instalmentadmin-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/economy-instalmentadmin-service-v1@sha256:dca7ffc93cf9a8dbe2985370b583d4eab436745801693c00bb236bf167f74bd5
comet-osb-services	economy-invoice-service-v1	BES	economy-invoice-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/economy-invoice-service-v1@sha256:36fcaea2b5ef6dfc4e51665257407634c3e7b09a114b72968592ccdf7b8a6a6c
comet-osb-services	economy-usage-service-v4	BES	economy-usage-service-v4.git	docker-registry.default.svc:5000/comet-osb-services/economy-usage-service-v4@sha256:6c33fa1dfd8785f7908ab9f3464f82765ff3a0a5248bb984889cfcbcc2f8258e
comet-osb-services	event-email-service-v3	BES	event-email-service-v3.git	docker-registry.default.svc:5000/comet-osb-services/event-email-service-v3@sha256:0887df286bdb304914ab86717ddfd144cab2b541f34c5755dadfd2da0cec73dd
comet-osb-services	event-invoice-service-v1	BES	event-invoice-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/event-invoice-service-v1@sha256:a04d69bfb350884e5f8ab0e39bb66c3b5358d8802146d3c9311444e3b6eddf19
comet-osb-services	event-invoicepreauthorized-service-v1	BES	event-invoicepreauthorized-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/event-invoicepreauthorized-service-v1@sha256:5aa355b75ef78a115a006e62a11413e10a0157b303b0361804df68d2dd90f0df
comet-osb-services	event-message-service-backend	BAS	event-message-service-backend.git	docker-registry.default.svc:5000/comet-osb-services/event-message-service-backend@sha256:7e3d0634f84f25c2ec1d374f70c08900a12dcef8f49d250c6a65dce6c76815d2
comet-osb-services	event-message-service-notification	BAS	event-message-service-notification.git	docker-registry.default.svc:5000/comet-osb-services/event-message-service-notification@sha256:e6a4bfe85b05ad065f858240e9d15e603fbb8d5efceeff5f653b430bf62d9e48
comet-osb-services	event-message-service-v3	BES	event-message-service-v3.git	docker-registry.default.svc:5000/comet-osb-services/event-message-service-v3@sha256:a84597229427274c2a5efae25c8d9a0a65acf78f5ba66547dc5ad653f65dfe26
comet-osb-services	kfs-order-service-v1	BAS	kfs-order-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/kfs-order-service-v1@sha256:d6d1dd7d30d2382edb6d980ffa07fa8c86a507cbbbe4dff518cdf8283ec882ff
comet-osb-services	kog-kogfault-service-v1	BAS	kog-kogfault-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/kog-kogfault-service-v1@sha256:748a26bd74bd7345b79a17cac052815fc2eb290ea74f90b1b794baf934bd2140
comet-osb-services	ldap-dc	opt	image-ldap.git	docker-registry.default.svc:5000/base-images/ldap-service@sha256:1532c5d5f89770f2bcde4961c1e07edb0e24824497b994c5f909e173198e9855
comet-osb-services	metro-cpe-service-v1	BAS	metro-cpe-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/metro-cpe-service-v1@sha256:fce91408e0243e24d1c788cd5b9f23c2dc099c1ba1873f78dce766a313cddb49
comet-osb-services	metro-subscription-service-v1	BAS	metro-subscription-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/metro-subscription-service-v1@sha256:1a09f0f8e18d8350e8935558b5ec61b06d450f46a30c563354d4cddbb1fbafce
